stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Antonio Persin\GitHub\BreakoutClone\BreakoutClone\x64\Release\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.09832] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09838] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.09843] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09848] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.09852] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09858] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.09863] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09868] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09871] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09875] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09878] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09881] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.09884] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09888] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.09891] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09895] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.09898] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09901] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09905] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09908] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09911] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09915] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.09918] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09922] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.09925] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09929] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.09932] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09936] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09939] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.09943] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.09946] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09949] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.09952] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09956] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.09959] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.09963] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.09966] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09969] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09973] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09977] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09980] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09984] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09987] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09990] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09994] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.09997] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10000] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10004] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10007] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10011] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10014] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10018] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10021] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10025] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10028] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.10032] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10035] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10039] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.10042] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.10046] Single Buffer requirement not met.
