stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Antonio Persin\GitHub\BreakoutClone\BreakoutClone\x64\Release\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.13710] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13720] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13727] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13735] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13745] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13753] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13761] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13770] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13778] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13787] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13796] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13804] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13811] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13819] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13826] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13834] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13840] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13847] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13853] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13860] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13867] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13873] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13882] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13892] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13898] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13907] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13913] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13920] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13927] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13934] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13941] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13950] Score is : 726
